method,transformation,dataset,precision,recall,f1,tp,fp,fn,total_records,true_matches,predicted_matches,cost_usd,wall_time_seconds
llm_haiku,scrambled,amazon-google,0.8623853211009175,0.8445642407906558,0.8533817521561506,940,150,173,1113,1113,1090,6.327324800000008,10279.420569181442
llm_haiku_token_fallback,ciphered_letters,amazon-google,0.7869318181818182,0.24887690925426775,0.3781569965870308,277,75,836,1113,1113,352,9.299087199999994,12374.52755522728
llm_haiku_token_fallback,ciphered_words,amazon-google,0.75,0.005390835579514825,0.010704727921498663,6,2,1107,1113,1113,8,3.080784800000003,18883.442116975784
llm_haiku_token_fallback,original,amazon-google,0.8952734012974977,0.8679245283018868,0.8813868613138687,966,113,147,1113,1113,1079,4.045858400000002,8387.779083013535
llm_haiku_token_fallback,scrambled,amazon-google,0.0,0.0,0.0,0,0,1113,1113,1113,0,0.0,193.28288197517395
monge_elkan,ciphered_letters,amazon-google,0.7933884297520661,0.6900269541778976,0.7381066794810187,768,200,345,1113,1113,968,,
monge_elkan,ciphered_words,amazon-google,0.7628205128205128,0.6415094339622641,0.6969253294289898,714,222,399,1113,1113,936,,
monge_elkan,original,amazon-google,0.7933884297520661,0.6900269541778976,0.7381066794810187,768,200,345,1113,1113,968,,
monge_elkan,scrambled,amazon-google,0.7908428720083247,0.6828391734052112,0.7328833172613309,760,201,353,1113,1113,961,,
openai_embeddings,ciphered_letters,amazon-google,0.6526217228464419,0.6262353998203055,0.6391563502980285,697,371,416,1113,1113,1068,,
openai_embeddings,ciphered_words,amazon-google,0.7259615384615384,0.6783468104222821,0.7013469577333953,755,285,358,1113,1113,1040,,
openai_embeddings,original,amazon-google,0.8040109389243391,0.7924528301886793,0.7981900452488687,882,215,231,1113,1113,1097,,
openai_embeddings,scrambled,amazon-google,0.7356746765249538,0.7151841868823001,0.7252847380410024,796,286,317,1113,1113,1082,,
sentence_transformer,ciphered_letters,amazon-google,0.6629098360655737,0.5813117699910153,0.6194351364289133,647,329,466,1113,1113,976,,
sentence_transformer,ciphered_words,amazon-google,0.7091787439613526,0.6594788858939802,0.6834264432029794,734,301,379,1113,1113,1035,,
sentence_transformer,original,amazon-google,0.7607076350093109,0.734052111410602,0.7471422039323274,817,257,296,1113,1113,1074,,
sentence_transformer,scrambled,amazon-google,0.684995340167754,0.660377358490566,0.6724611161939616,735,338,378,1113,1113,1073,,
soft_tfidf,ciphered_letters,amazon-google,0.8148148148148148,0.7511230907457322,0.7816736792893877,836,190,277,1113,1113,1026,,
soft_tfidf,ciphered_words,amazon-google,0.8023598820058997,0.7331536388140162,0.7661971830985914,816,201,297,1113,1113,1017,,
soft_tfidf,original,amazon-google,0.8148148148148148,0.7511230907457322,0.7816736792893877,836,190,277,1113,1113,1026,,
soft_tfidf,scrambled,amazon-google,0.8074656188605108,0.738544474393531,0.7714687939934304,822,196,291,1113,1113,1018,,
tfidf,ciphered_letters,amazon-google,0.8349007314524556,0.7178796046720575,0.7719806763285025,799,158,314,1113,1113,957,,
tfidf,ciphered_words,amazon-google,0.83125,0.7169811320754716,0.7698986975397973,798,162,315,1113,1113,960,,
tfidf,original,amazon-google,0.8349007314524556,0.7178796046720575,0.7719806763285025,799,158,314,1113,1113,957,,
tfidf,scrambled,amazon-google,0.8349007314524556,0.7178796046720575,0.7719806763285025,799,158,314,1113,1113,957,,
